,"Optimal (HJB-QVI), N=1000","Pure Delta Hedge, N=1000","Pure Passive MM, N=1000"
E[Terminal Wealth],2351.190096870075,-1343.7689990005226,3487.957918204084
E[Terminal Wealth]/option,2.3511900968700754,-1.3437689990005226,3.487957918204084
Std[Terminal Wealth]/option,0.4243750778486289,0.4707582843398483,1.304430192509597
Sharpe Ratio,5.540358563913419,-2.85447764532686,2.6739322182458776
E[Cum Tracking Error]/N^2,0.009496391915678288,0.0020313660929419464,0.4102422830499326
Reward/Tracking Ratio,2.329072313382242,-1.341044845971302,2.4733040273481754
Mean Final Inventory/option,0.45758333333333334,0.4705,-0.004333333333333333
Mean Market Orders,36.55833333333333,78.90166666666667,0.0
Mean Limit Fills,78.69333333333333,0.0,106.08333333333333
Mean Max Drawdown/option,0.18812329679038348,1.3474612207885213,0.7958851472637269
Mean Maker Rebate/option,0.01967333333333333,0.0,0.026520833333333334
Mean Taker Cost/option,0.14623333333333333,0.39781333333333335,0.0
Mean Impact Cost/option,0.258506454088782,0.9389814466698293,0.0
